Thread count: 1 ; WinSize: 9 ; Execution time: 13.1341 s
Thread count: 1 ; WinSize: 13 ; Execution time: 23.3171 s
Thread count: 1 ; WinSize: 17 ; Execution time: 37.3857 s
Thread count: 1 ; WinSize: 21 ; Execution time: 54.8621 s
Thread count: 2 ; WinSize: 9 ; Execution time: 8.88393 s
Thread count: 2 ; WinSize: 13 ; Execution time: 15.7213 s
Thread count: 2 ; WinSize: 17 ; Execution time: 24.6256 s
Thread count: 2 ; WinSize: 21 ; Execution time: 36.8394 s
Thread count: 3 ; WinSize: 9 ; Execution time: 7.26575 s
Thread count: 3 ; WinSize: 13 ; Execution time: 12.9703 s
Thread count: 3 ; WinSize: 17 ; Execution time: 20.6243 s
Thread count: 3 ; WinSize: 21 ; Execution time: 29.9623 s
Thread count: 4 ; WinSize: 9 ; Execution time: 7.01921 s
Thread count: 4 ; WinSize: 13 ; Execution time: 12.6466 s
Thread count: 4 ; WinSize: 17 ; Execution time: 19.9059 s
Thread count: 4 ; WinSize: 21 ; Execution time: 28.9719 s
Thread count: 6 ; WinSize: 9 ; Execution time: 6.93959 s
Thread count: 6 ; WinSize: 13 ; Execution time: 12.3865 s
Thread count: 6 ; WinSize: 17 ; Execution time: 19.6956 s
Thread count: 6 ; WinSize: 21 ; Execution time: 28.5403 s
Thread count: 8 ; WinSize: 9 ; Execution time: 7.39196 s
Thread count: 8 ; WinSize: 13 ; Execution time: 12.4741 s
Thread count: 8 ; WinSize: 17 ; Execution time: 19.6582 s
Thread count: 8 ; WinSize: 21 ; Execution time: 28.7059 s
Thread count: 12 ; WinSize: 9 ; Execution time: 7.00149 s
Thread count: 12 ; WinSize: 13 ; Execution time: 12.3083 s
Thread count: 12 ; WinSize: 17 ; Execution time: 19.7179 s
Thread count: 12 ; WinSize: 21 ; Execution time: 28.7204 s
Thread count: 16 ; WinSize: 9 ; Execution time: 6.99152 s
Thread count: 16 ; WinSize: 13 ; Execution time: 12.4843 s
Thread count: 16 ; WinSize: 17 ; Execution time: 20.1863 s
Thread count: 16 ; WinSize: 21 ; Execution time: 28.8396 s
Thread count: 32 ; WinSize: 9 ; Execution time: 6.89566 s
Thread count: 32 ; WinSize: 13 ; Execution time: 12.2901 s
Thread count: 32 ; WinSize: 17 ; Execution time: 19.5115 s
Thread count: 32 ; WinSize: 21 ; Execution time: 28.4109 s
Thread count: 512 ; WinSize: 9 ; Execution time: 6.93078 s
Thread count: 512 ; WinSize: 13 ; Execution time: 12.326 s
Thread count: 512 ; WinSize: 17 ; Execution time: 19.5261 s
Thread count: 512 ; WinSize: 21 ; Execution time: 28.4256 s
Thread count: 1024 ; WinSize: 9 ; Execution time: 6.87119 s
Thread count: 1024 ; WinSize: 13 ; Execution time: 12.3211 s
Thread count: 1024 ; WinSize: 17 ; Execution time: 19.4827 s
Thread count: 1024 ; WinSize: 21 ; Execution time: 28.4539 s
Thread count: 1536 ; WinSize: 9 ; Execution time: 6.84756 s
Thread count: 1536 ; WinSize: 13 ; Execution time: 12.2873 s
Thread count: 1536 ; WinSize: 17 ; Execution time: 19.5349 s
Thread count: 1536 ; WinSize: 21 ; Execution time: 28.4158 s
Thread count: 2048 ; WinSize: 9 ; Execution time: 6.85933 s
Thread count: 2048 ; WinSize: 13 ; Execution time: 12.3123 s
Thread count: 2048 ; WinSize: 17 ; Execution time: 19.5111 s
Thread count: 2048 ; WinSize: 21 ; Execution time: 28.4435 s
Thread count: 350000 ; WinSize: 9 ; Execution time: 6.85346 s
Thread count: 350000 ; WinSize: 13 ; Execution time: 12.3127 s
Thread count: 350000 ; WinSize: 17 ; Execution time: 19.5103 s
Thread count: 350000 ; WinSize: 21 ; Execution time: 28.5107 s
