Thread count: 1 ; WinSize: 9 ; Execution time: 13.4201 s
Thread count: 1 ; WinSize: 13 ; Execution time: 23.1431 s
Thread count: 1 ; WinSize: 17 ; Execution time: 37.2667 s
Thread count: 1 ; WinSize: 21 ; Execution time: 54.6494 s
Thread count: 2 ; WinSize: 9 ; Execution time: 8.4438 s
Thread count: 2 ; WinSize: 13 ; Execution time: 15.397 s
Thread count: 2 ; WinSize: 17 ; Execution time: 24.7847 s
Thread count: 2 ; WinSize: 21 ; Execution time: 36.2159 s
Thread count: 3 ; WinSize: 9 ; Execution time: 8.58582 s
Thread count: 3 ; WinSize: 13 ; Execution time: 15.1721 s
Thread count: 3 ; WinSize: 17 ; Execution time: 23.6007 s
Thread count: 3 ; WinSize: 21 ; Execution time: 33.4301 s
Thread count: 4 ; WinSize: 9 ; Execution time: 7.42538 s
Thread count: 4 ; WinSize: 13 ; Execution time: 13.3564 s
Thread count: 4 ; WinSize: 17 ; Execution time: 21.0707 s
Thread count: 4 ; WinSize: 21 ; Execution time: 30.6244 s
Thread count: 6 ; WinSize: 9 ; Execution time: 8.07172 s
Thread count: 6 ; WinSize: 13 ; Execution time: 14.6687 s
Thread count: 6 ; WinSize: 17 ; Execution time: 23.355 s
Thread count: 6 ; WinSize: 21 ; Execution time: 34.2235 s
Thread count: 8 ; WinSize: 9 ; Execution time: 7.28261 s
Thread count: 8 ; WinSize: 13 ; Execution time: 13.1747 s
Thread count: 8 ; WinSize: 17 ; Execution time: 20.8538 s
Thread count: 8 ; WinSize: 21 ; Execution time: 30.2515 s
Thread count: 12 ; WinSize: 9 ; Execution time: 7.32125 s
Thread count: 12 ; WinSize: 13 ; Execution time: 13.0677 s
Thread count: 12 ; WinSize: 17 ; Execution time: 20.8082 s
Thread count: 12 ; WinSize: 21 ; Execution time: 30.1304 s
Thread count: 16 ; WinSize: 9 ; Execution time: 7.32345 s
Thread count: 16 ; WinSize: 13 ; Execution time: 13.0559 s
Thread count: 16 ; WinSize: 17 ; Execution time: 20.7117 s
Thread count: 16 ; WinSize: 21 ; Execution time: 30.0592 s
Thread count: 32 ; WinSize: 9 ; Execution time: 7.25877 s
Thread count: 32 ; WinSize: 13 ; Execution time: 12.9036 s
Thread count: 32 ; WinSize: 17 ; Execution time: 20.4695 s
Thread count: 32 ; WinSize: 21 ; Execution time: 29.7654 s
Thread count: 512 ; WinSize: 9 ; Execution time: 7.16734 s
Thread count: 512 ; WinSize: 13 ; Execution time: 12.722 s
Thread count: 512 ; WinSize: 17 ; Execution time: 20.3188 s
Thread count: 512 ; WinSize: 21 ; Execution time: 29.569 s
Thread count: 1024 ; WinSize: 9 ; Execution time: 7.44096 s
Thread count: 1024 ; WinSize: 13 ; Execution time: 12.8463 s
Thread count: 1024 ; WinSize: 17 ; Execution time: 20.2693 s
Thread count: 1024 ; WinSize: 21 ; Execution time: 29.5933 s
Thread count: 1536 ; WinSize: 9 ; Execution time: 7.18502 s
Thread count: 1536 ; WinSize: 13 ; Execution time: 12.8986 s
Thread count: 1536 ; WinSize: 17 ; Execution time: 20.2793 s
Thread count: 1536 ; WinSize: 21 ; Execution time: 29.5173 s
Thread count: 2048 ; WinSize: 9 ; Execution time: 7.21258 s
Thread count: 2048 ; WinSize: 13 ; Execution time: 12.8447 s
Thread count: 2048 ; WinSize: 17 ; Execution time: 20.3132 s
Thread count: 2048 ; WinSize: 21 ; Execution time: 29.4634 s
Thread count: 350000 ; WinSize: 9 ; Execution time: 7.13803 s
Thread count: 350000 ; WinSize: 13 ; Execution time: 12.8554 s
Thread count: 350000 ; WinSize: 17 ; Execution time: 20.23 s
Thread count: 350000 ; WinSize: 21 ; Execution time: 29.6402 s
