Thread count: 1 ; WinSize: 9 ; Execution time: 12.8257 s
Thread count: 1 ; WinSize: 13 ; Execution time: 23.1518 s
Thread count: 1 ; WinSize: 17 ; Execution time: 37.9927 s
Thread count: 1 ; WinSize: 21 ; Execution time: 55.3108 s
Thread count: 2 ; WinSize: 9 ; Execution time: 8.81534 s
Thread count: 2 ; WinSize: 13 ; Execution time: 15.7077 s
Thread count: 2 ; WinSize: 17 ; Execution time: 24.9571 s
Thread count: 2 ; WinSize: 21 ; Execution time: 36.2909 s
Thread count: 3 ; WinSize: 9 ; Execution time: 7.36312 s
Thread count: 3 ; WinSize: 13 ; Execution time: 12.8925 s
Thread count: 3 ; WinSize: 17 ; Execution time: 20.3983 s
Thread count: 3 ; WinSize: 21 ; Execution time: 29.7468 s
Thread count: 4 ; WinSize: 9 ; Execution time: 7.00535 s
Thread count: 4 ; WinSize: 13 ; Execution time: 12.5348 s
Thread count: 4 ; WinSize: 17 ; Execution time: 19.8634 s
Thread count: 4 ; WinSize: 21 ; Execution time: 28.856 s
Thread count: 6 ; WinSize: 9 ; Execution time: 6.90115 s
Thread count: 6 ; WinSize: 13 ; Execution time: 12.2206 s
Thread count: 6 ; WinSize: 17 ; Execution time: 19.5088 s
Thread count: 6 ; WinSize: 21 ; Execution time: 28.6112 s
Thread count: 8 ; WinSize: 9 ; Execution time: 7.27701 s
Thread count: 8 ; WinSize: 13 ; Execution time: 12.2693 s
Thread count: 8 ; WinSize: 17 ; Execution time: 19.585 s
Thread count: 8 ; WinSize: 21 ; Execution time: 28.5145 s
Thread count: 12 ; WinSize: 9 ; Execution time: 6.92974 s
Thread count: 12 ; WinSize: 13 ; Execution time: 12.2909 s
Thread count: 12 ; WinSize: 17 ; Execution time: 19.4442 s
Thread count: 12 ; WinSize: 21 ; Execution time: 28.5498 s
Thread count: 16 ; WinSize: 9 ; Execution time: 6.95327 s
Thread count: 16 ; WinSize: 13 ; Execution time: 12.4529 s
Thread count: 16 ; WinSize: 17 ; Execution time: 19.4601 s
Thread count: 16 ; WinSize: 21 ; Execution time: 28.436 s
Thread count: 32 ; WinSize: 9 ; Execution time: 6.87935 s
Thread count: 32 ; WinSize: 13 ; Execution time: 12.2583 s
Thread count: 32 ; WinSize: 17 ; Execution time: 19.4482 s
Thread count: 32 ; WinSize: 21 ; Execution time: 28.3835 s
Thread count: 512 ; WinSize: 9 ; Execution time: 6.87622 s
Thread count: 512 ; WinSize: 13 ; Execution time: 12.2401 s
Thread count: 512 ; WinSize: 17 ; Execution time: 19.4281 s
Thread count: 512 ; WinSize: 21 ; Execution time: 28.3692 s
Thread count: 1024 ; WinSize: 9 ; Execution time: 6.84529 s
Thread count: 1024 ; WinSize: 13 ; Execution time: 12.2313 s
Thread count: 1024 ; WinSize: 17 ; Execution time: 19.4519 s
Thread count: 1024 ; WinSize: 21 ; Execution time: 28.3574 s
Thread count: 1536 ; WinSize: 9 ; Execution time: 6.82186 s
Thread count: 1536 ; WinSize: 13 ; Execution time: 12.2385 s
Thread count: 1536 ; WinSize: 17 ; Execution time: 19.4209 s
Thread count: 1536 ; WinSize: 21 ; Execution time: 28.3635 s
Thread count: 2048 ; WinSize: 9 ; Execution time: 6.83639 s
Thread count: 2048 ; WinSize: 13 ; Execution time: 12.2398 s
Thread count: 2048 ; WinSize: 17 ; Execution time: 19.4484 s
Thread count: 2048 ; WinSize: 21 ; Execution time: 28.4011 s
Thread count: 350000 ; WinSize: 9 ; Execution time: 6.85096 s
Thread count: 350000 ; WinSize: 13 ; Execution time: 12.2821 s
Thread count: 350000 ; WinSize: 17 ; Execution time: 19.43 s
Thread count: 350000 ; WinSize: 21 ; Execution time: 28.3646 s
